step,date,equity,cash,shares,price,action,suggested,drawdown_pct
0,2026-07-10,99961.94,99961.94,0,385.1,HOLD,78,0.0
1,2026-07-13,99961.94,99961.94,0,390.99,HOLD,81,0.0
2,2026-07-14,99961.94,99961.94,0,384.93,HOLD,80,0.0
3,2026-07-15,99961.94,99961.94,0,395.63,HOLD,80,0.0
4,2026-07-16,99961.94,99961.94,0,401.1,HOLD,81,0.0
5,2026-07-17,99961.94,99961.94,0,393.82,HOLD,87,0.0
6,2026-07-20,99961.94,99961.94,0,402.29,HOLD,91,0.0
7,2026-07-21,99961.94,99961.94,0,397.75,HOLD,91,0.0
8,2026-07-22,99961.94,99961.94,0,390.34,HOLD,92,0.0
9,2026-07-23,99961.94,99961.94,0,381.58,HOLD,89,0.0
10,2026-07-24,99961.94,99961.94,0,381.7,HOLD,89,0.0
11,2026-07-27,99961.94,99961.94,0,389.1,HOLD,87,0.0
12,2026-07-28,99961.94,99961.94,0,393.35,HOLD,85,0.0
13,2026-07-29,99961.94,99961.94,0,390.54,HOLD,85,0.0
14,2026-07-30,99961.94,80113.54,44,451.1,BUY,62,0.0
15,2026-07-31,100561.22,80113.54,44,464.72,HOLD,60,0.0
16,2026-08-03,101570.14,80113.54,44,487.65,HOLD,57,0.0
17,2026-08-04,101797.18,80113.54,44,492.81,HOLD,55,0.0
18,2026-08-05,101561.78,80113.54,44,487.46,HOLD,56,0.2312
19,2026-08-06,102107.38,80113.54,44,499.86,HOLD,55,0.0
20,2026-08-07,102113.1,80113.54,44,499.99,HOLD,57,0.0
21,2026-08-11,102281.18,80113.54,44,503.81,HOLD,57,0.0
22,2026-08-12,101780.46,80113.54,44,492.43,HOLD,57,0.4896
23,2026-08-13,101976.26,80113.54,44,496.88,HOLD,57,0.2981
24,2026-08-14,101911.14,80113.54,44,495.4,HOLD,58,0.3618
25,2026-08-17,101248.94,80113.54,44,480.35,HOLD,57,1.0092
